zip,city,state,county,payout
74330,Adair,OK,Mayes County,127.0
74331,Afton,OK,Delaware County,127.0
74824,Agra,OK,Lincoln County,127.0
74001,Avant,OK,Osage County,149.0
74002,Barnsdall,OK,Osage County,149.0
74003,Bartlesville,OK,Washington County,127.0
74006,Bartlesville,OK,Washington County,127.0
74421,Beggs,OK,Okmulgee County,127.0
74332,Big Cabin,OK,Mayes County,127.0
74008,Bixby,OK,Tulsa County,127.0
74829,Boley,OK,Okfuskee County,127.0
74422,Boynton,OK,Muskogee County,127.0
74423,Braggs,OK,Muskogee County,127.0
74010,Bristow,OK,Creek County,127.0
74011,Broken Arrow,OK,Tulsa County,127.0
74012,Broken Arrow,OK,Tulsa County,127.0
74014,Broken Arrow,OK,Wagoner County,127.0
74931,Bunch,OK,Adair County,127.0
74335,Cardin,OK,Ottawa County,102.5
74833,Castle,OK,Okfuskee County,127.0
74015,Catoosa,OK,Rogers County,127.0
74426,Checotah,OK,Mcintosh County,127.0
74016,Chelsea,OK,Rogers County,127.0
74337,Chouteau,OK,Mayes County,127.0
74017,Claremore,OK,Rogers County,127.0
74019,Claremore,OK,Rogers County,127.0
74020,Cleveland,OK,Pawnee County,149.0
74338,Colcord,OK,Delaware County,127.0
74021,Collinsville,OK,Tulsa County,127.0
74428,Council Hill,OK,Mcintosh County,127.0
74429,Coweta,OK,Wagoner County,127.0
74023,Cushing,OK,Payne County,127.0
74028,Depew,OK,Creek County,127.0
74340,Disney,OK,Mayes County,127.0
74342,Eucha,OK,Delaware County,127.0
74432,Eufaula,OK,Mcintosh County,127.0
74434,Fort Gibson,OK,Muskogee County,127.0
74032,Glencoe,OK,Payne County,127.0
74033,Glenpool,OK,Tulsa County,127.0
74435,Gore,OK,Sequoyah County,127.0
74344,Grove,OK,Delaware County,127.0
74436,Haskell,OK,Muskogee County,127.0
74438,Hitchita,OK,Mcintosh County,127.0
74441,Hulbert,OK,Cherokee County,127.0
74036,Inola,OK,Rogers County,127.0
74346,Jay,OK,Delaware County,127.0
74037,Jenks,OK,Tulsa County,127.0
74038,Jennings,OK,Pawnee County,149.0
74347,Kansas,OK,Delaware County,127.0
74039,Kellyville,OK,Creek County,127.0
74349,Ketchum,OK,Craig County,127.0
74041,Kiefer,OK,Creek County,127.0
74350,Langley,OK,Mayes County,127.0
74352,Locust Grove,OK,Mayes County,127.0
74044,Mannford,OK,Creek County,127.0
74045,Maramec,OK,Pawnee County,149.0
74945,Marble City,OK,Sequoyah County,127.0
74445,Morris,OK,Okmulgee County,127.0
74047,Mounds,OK,Okmulgee County,127.0
74048,Nowata,OK,Nowata County,127.0
74359,Oaks,OK,Delaware County,127.0
74051,Ochelata,OK,Washington County,127.0
74052,Oilton,OK,Creek County,127.0
74446,Okay,OK,Wagoner County,127.0
74447,Okmulgee,OK,Okmulgee County,127.0
74450,Oktaha,OK,Muskogee County,127.0
74053,Oologah,OK,Rogers County,127.0
74055,Owasso,OK,Tulsa County,127.0
74860,Paden,OK,Okfuskee County,127.0
74058,Pawnee,OK,Pawnee County,149.0
74452,Peggs,OK,Mayes County,127.0
74454,Porter,OK,Wagoner County,127.0
74455,Porum,OK,Muskogee County,127.0
74864,Prague,OK,Lincoln County,127.0
74456,Preston,OK,Okmulgee County,127.0
74457,Proctor,OK,Cherokee County,127.0
74060,Prue,OK,Osage County,149.0
74361,Pryor,OK,Mayes County,127.0
74650,Ralston,OK,Pawnee County,149.0
74061,Ramona,OK,Washington County,127.0
74458,Redbird,OK,Wagoner County,127.0
74062,Ripley,OK,Payne County,127.0
74364,Rose,OK,Delaware County,127.0
74365,Salina,OK,Mayes County,127.0
74955,Sallisaw,OK,Sequoyah County,127.0
74063,Sand Springs,OK,Tulsa County,127.0
74066,Sapulpa,OK,Creek County,127.0
74070,Skiatook,OK,Osage County,149.0
74869,Sparks,OK,Lincoln County,127.0
74366,Spavinaw,OK,Mayes County,127.0
74073,Sperry,OK,Tulsa County,127.0
74462,Stigler,OK,Haskell County,127.0
74367,Strang,OK,Mayes County,127.0
74079,Stroud,OK,Lincoln County,127.0
74464,Tahlequah,OK,Cherokee County,127.0
74080,Talala,OK,Rogers County,127.0
74081,Terlton,OK,Pawnee County,149.0
74103,Tulsa,OK,Tulsa County,127.0
74104,Tulsa,OK,Tulsa County,127.0
74105,Tulsa,OK,Tulsa County,127.0
74107,Tulsa,OK,Tulsa County,127.0
74108,Tulsa,OK,Tulsa County,127.0
74112,Tulsa,OK,Tulsa County,127.0
74114,Tulsa,OK,Tulsa County,127.0
74115,Tulsa,OK,Tulsa County,127.0
74116,Tulsa,OK,Tulsa County,127.0
74117,Tulsa,OK,Tulsa County,127.0
74119,Tulsa,OK,Tulsa County,127.0
74120,Tulsa,OK,Tulsa County,127.0
74127,Tulsa,OK,Tulsa County,127.0
74128,Tulsa,OK,Tulsa County,127.0
74129,Tulsa,OK,Tulsa County,127.0
74131,Tulsa,OK,Creek County,127.0
74132,Tulsa,OK,Tulsa County,127.0
74133,Tulsa,OK,Tulsa County,127.0
74134,Tulsa,OK,Tulsa County,127.0
74135,Tulsa,OK,Tulsa County,127.0
74136,Tulsa,OK,Tulsa County,127.0
74137,Tulsa,OK,Tulsa County,127.0
74145,Tulsa,OK,Tulsa County,127.0
74146,Tulsa,OK,Tulsa County,127.0
74962,Vian,OK,Sequoyah County,127.0
74301,Vinita,OK,Craig County,127.0
74467,Wagoner,OK,Wagoner County,127.0
74468,Wainwright,OK,Muskogee County,127.0
74469,Warner,OK,Muskogee County,127.0
74964,Watts,OK,Adair County,127.0
74470,Webbers Falls,OK,Muskogee County,127.0
74471,Welling,OK,Cherokee County,127.0
74965,Westville,OK,Adair County,127.0
74085,Yale,OK,Payne County,127.0
