zip,city,state,county,payout
97406,Agness,OR,Curry County,127.0
97321,Albany,OR,Linn County,131.5
97322,Albany,OR,Linn County,131.5
97324,Alsea,OR,Benton County,127.0
97409,Alvadore,OR,Lane County,131.5
97101,Amity,OR,Yamhill County,127.0
97102,Arch Cape,OR,Clatsop County,127.0
97520,Ashland,OR,Jackson County,131.5
97103,Astoria,OR,Clatsop County,127.0
97325,Aumsville,OR,Marion County,131.5
97002,Aurora,OR,Marion County,131.5
97410,Azalea,OR,Douglas County,131.5
97411,Bandon,OR,Coos County,131.5
97106,Banks,OR,Washington County,131.5
97004,Beavercreek,OR,Clackamas County,131.5
97003,Beaverton,OR,Washington County,131.5
97005,Beaverton,OR,Washington County,131.5
97006,Beaverton,OR,Washington County,131.5
97007,Beaverton,OR,Washington County,131.5
97008,Beaverton,OR,Washington County,131.5
97075,Beaverton,OR,Washington County,131.5
97076,Beaverton,OR,Washington County,131.5
97077,Beaverton,OR,Washington County,131.5
97078,Beaverton,OR,Washington County,131.5
97412,Blachly,OR,Lane County,131.5
97326,Blodgett,OR,Benton County,127.0
97413,Blue River,OR,Lane County,131.5
97009,Boring,OR,Clackamas County,131.5
97010,Bridal Veil,OR,Multnomah County,131.5
97011,Brightwood,OR,Clackamas County,131.5
97414,Broadbent,OR,Coos County,131.5
97415,Brookings,OR,Curry County,127.0
97327,Brownsville,OR,Linn County,131.5
97522,Butte Falls,OR,Jackson County,131.5
97109,Buxton,OR,Washington County,131.5
97416,Camas Valley,OR,Douglas County,131.5
97013,Canby,OR,Clackamas County,131.5
97417,Canyonville,OR,Douglas County,131.5
97111,Carlton,OR,Yamhill County,127.0
97014,Cascade Locks,OR,Hood River County,127.0
97329,Cascadia,OR,Linn County,131.5
97523,Cave Junction,OR,Josephine County,131.5
97502,Central Point,OR,Jackson County,131.5
97419,Cheshire,OR,Lane County,131.5
97015,Clackamas,OR,Clackamas County,131.5
97016,Clatskanie,OR,Columbia County,127.0
97017,Colton,OR,Clackamas County,131.5
97018,Columbia City,OR,Columbia County,127.0
97420,Coos Bay,OR,Coos County,131.5
97423,Coquille,OR,Coos County,131.5
97019,Corbett,OR,Multnomah County,131.5
97113,Cornelius,OR,Washington County,131.5
97330,Corvallis,OR,Benton County,127.0
97331,Corvallis,OR,Benton County,127.0
97333,Corvallis,OR,Benton County,127.0
97339,Corvallis,OR,Benton County,127.0
97424,Cottage Grove,OR,Lane County,131.5
97335,Crabtree,OR,Linn County,131.5
97336,Crawfordsville,OR,Linn County,131.5
97426,Creswell,OR,Lane County,131.5
97089,Damascus,OR,Clackamas County,131.5
97429,Days Creek,OR,Douglas County,131.5
97114,Dayton,OR,Yamhill County,127.0
97430,Deadwood,OR,Lane County,131.5
97054,Deer Island,OR,Columbia County,127.0
97341,Depoe Bay,OR,Lincoln County,127.0
97342,Detroit,OR,Marion County,131.5
97431,Dexter,OR,Lane County,131.5
97432,Dillard,OR,Douglas County,131.5
97020,Donald,OR,Marion County,131.5
97434,Dorena,OR,Lane County,131.5
97435,Drain,OR,Douglas County,131.5
97115,Dundee,OR,Yamhill County,127.0
97022,Eagle Creek,OR,Clackamas County,131.5
97524,Eagle Point,OR,Jackson County,131.5
97343,Eddyville,OR,Lincoln County,127.0
97436,Elkton,OR,Douglas County,131.5
97437,Elmira,OR,Lane County,131.5
97023,Estacada,OR,Clackamas County,131.5
97401,Eugene,OR,Lane County,131.5
97402,Eugene,OR,Lane County,131.5
97403,Eugene,OR,Lane County,131.5
97404,Eugene,OR,Lane County,131.5
97405,Eugene,OR,Lane County,131.5
97408,Eugene,OR,Lane County,131.5
97440,Eugene,OR,Lane County,131.5
97024,Fairview,OR,Multnomah County,131.5
97438,Fall Creek,OR,Lane County,131.5
97439,Florence,OR,Lane County,131.5
97116,Forest Grove,OR,Washington County,131.5
97345,Foster,OR,Linn County,131.5
97117,Gales Creek,OR,Washington County,131.5
97441,Gardiner,OR,Douglas County,131.5
97119,Gaston,OR,Washington County,131.5
97346,Gates,OR,Marion County,131.5
97026,Gervais,OR,Marion County,131.5
97027,Gladstone,OR,Clackamas County,131.5
97442,Glendale,OR,Douglas County,131.5
97388,Gleneden Beach,OR,Lincoln County,127.0
97443,Glide,OR,Douglas County,131.5
97444,Gold Beach,OR,Curry County,127.0
97525,Gold Hill,OR,Jackson County,131.5
97028,Government Camp,OR,Clackamas County,131.5
97347,Grand Ronde,OR,Polk County,127.0
97526,Grants Pass,OR,Josephine County,131.5
97527,Grants Pass,OR,Josephine County,131.5
97528,Grants Pass,OR,Josephine County,131.5
97030,Gresham,OR,Multnomah County,131.5
97080,Gresham,OR,Multnomah County,131.5
97348,Halsey,OR,Linn County,131.5
97086,Happy Valley,OR,Clackamas County,131.5
97446,Harrisburg,OR,Linn County,131.5
97123,Hillsboro,OR,Washington County,131.5
97124,Hillsboro,OR,Washington County,131.5
97031,Hood River,OR,Hood River County,127.0
97032,Hubbard,OR,Marion County,131.5
97350,Idanha,OR,Marion County,131.5
97447,Idleyld Park,OR,Douglas County,131.5
97530,Jacksonville,OR,Jackson County,131.5
97352,Jefferson,OR,Marion County,131.5
97448,Junction City,OR,Lane County,131.5
97307,Keizer,OR,Marion County,131.5
97531,Kerby,OR,Josephine County,131.5
97601,Klamath Falls,OR,Klamath County,127.0
97602,Klamath Falls,OR,Klamath County,127.0
97603,Klamath Falls,OR,Klamath County,127.0
97127,Lafayette,OR,Yamhill County,127.0
97034,Lake Oswego,OR,Clackamas County,131.5
97035,Lake Oswego,OR,Clackamas County,131.5
97449,Lakeside,OR,Coos County,131.5
97450,Langlois,OR,Curry County,127.0
97355,Lebanon,OR,Linn County,131.5
97367,Lincoln City,OR,Lincoln County,127.0
97357,Logsden,OR,Lincoln County,127.0
97451,Lorane,OR,Lane County,131.5
97452,Lowell,OR,Lane County,131.5
97358,Lyons,OR,Linn County,131.5
97125,Manning,OR,Washington County,131.5
97453,Mapleton,OR,Lane County,131.5
97454,Marcola,OR,Lane County,131.5
97036,Marylhurst,OR,Clackamas County,131.5
97128,Mcminnville,OR,Yamhill County,127.0
97501,Medford,OR,Jackson County,131.5
97504,Medford,OR,Jackson County,131.5
97384,Mehama,OR,Marion County,131.5
97532,Merlin,OR,Josephine County,131.5
97360,Mill City,OR,Linn County,131.5
97038,Molalla,OR,Clackamas County,131.5
97456,Monroe,OR,Benton County,127.0
97362,Mount Angel,OR,Marion County,131.5
97041,Mount Hood Parkdale,OR,Hood River County,127.0
97042,Mulino,OR,Clackamas County,131.5
97533,Murphy,OR,Josephine County,131.5
97457,Myrtle Creek,OR,Douglas County,131.5
97458,Myrtle Point,OR,Coos County,131.5
97132,Newberg,OR,Yamhill County,127.0
97365,Newport,OR,Lincoln County,127.0
97459,North Bend,OR,Coos County,131.5
97133,North Plains,OR,Washington County,131.5
97461,Noti,OR,Lane County,131.5
97534,O'Brien,OR,Josephine County,131.5
97462,Oakland,OR,Douglas County,131.5
97463,Oakridge,OR,Lane County,131.5
97464,Ophir,OR,Curry County,127.0
97045,Oregon City,OR,Clackamas County,131.5
97368,Otis,OR,Lincoln County,127.0
97369,Otter Rock,OR,Lincoln County,127.0
97370,Philomath,OR,Benton County,127.0
97535,Phoenix,OR,Jackson County,131.5
97455,Pleasant Hill,OR,Lane County,131.5
97465,Port Orford,OR,Curry County,127.0
97201,Portland,OR,Multnomah County,131.5
97202,Portland,OR,Multnomah County,131.5
97203,Portland,OR,Multnomah County,131.5
97204,Portland,OR,Multnomah County,131.5
97205,Portland,OR,Multnomah County,131.5
97206,Portland,OR,Multnomah County,131.5
97207,Portland,OR,Multnomah County,131.5
97208,Portland,OR,Multnomah County,131.5
97209,Portland,OR,Multnomah County,131.5
97210,Portland,OR,Multnomah County,131.5
97211,Portland,OR,Multnomah County,131.5
97212,Portland,OR,Multnomah County,131.5
97213,Portland,OR,Multnomah County,131.5
97214,Portland,OR,Multnomah County,131.5
97215,Portland,OR,Multnomah County,131.5
97216,Portland,OR,Multnomah County,131.5
97217,Portland,OR,Multnomah County,131.5
97218,Portland,OR,Multnomah County,131.5
97219,Portland,OR,Multnomah County,131.5
97220,Portland,OR,Multnomah County,131.5
97221,Portland,OR,Multnomah County,131.5
97222,Portland,OR,Clackamas County,131.5
97223,Portland,OR,Washington County,131.5
97224,Portland,OR,Washington County,131.5
97225,Portland,OR,Washington County,131.5
97227,Portland,OR,Multnomah County,131.5
97228,Portland,OR,Multnomah County,131.5
97229,Portland,OR,Washington County,131.5
97230,Portland,OR,Multnomah County,131.5
97231,Portland,OR,Multnomah County,131.5
97232,Portland,OR,Multnomah County,131.5
97233,Portland,OR,Multnomah County,131.5
97236,Portland,OR,Multnomah County,131.5
97238,Portland,OR,Multnomah County,131.5
97239,Portland,OR,Multnomah County,131.5
97240,Portland,OR,Multnomah County,131.5
97242,Portland,OR,Multnomah County,131.5
97256,Portland,OR,Multnomah County,131.5
97258,Portland,OR,Multnomah County,131.5
97266,Portland,OR,Multnomah County,131.5
97267,Portland,OR,Clackamas County,131.5
97268,Portland,OR,Multnomah County,131.5
97269,Portland,OR,Multnomah County,131.5
97280,Portland,OR,Multnomah County,131.5
97281,Portland,OR,Multnomah County,131.5
97282,Portland,OR,Multnomah County,131.5
97283,Portland,OR,Multnomah County,131.5
97286,Portland,OR,Multnomah County,131.5
97290,Portland,OR,Multnomah County,131.5
97291,Portland,OR,Multnomah County,131.5
97292,Portland,OR,Multnomah County,131.5
97293,Portland,OR,Multnomah County,131.5
97294,Portland,OR,Multnomah County,131.5
97296,Portland,OR,Multnomah County,131.5
97298,Portland,OR,Multnomah County,131.5
97466,Powers,OR,Coos County,131.5
97536,Prospect,OR,Jackson County,131.5
97048,Rainier,OR,Columbia County,127.0
97467,Reedsport,OR,Douglas County,131.5
97049,Rhododendron,OR,Clackamas County,131.5
97469,Riddle,OR,Douglas County,131.5
97136,Rockaway Beach,OR,Tillamook County,127.0
97537,Rogue River,OR,Jackson County,131.5
97470,Roseburg,OR,Douglas County,131.5
97471,Roseburg,OR,Douglas County,131.5
97373,Saint Benedict,OR,Marion County,131.5
97051,Saint Helens,OR,Columbia County,127.0
97137,Saint Paul,OR,Marion County,131.5
97301,Salem,OR,Marion County,131.5
97302,Salem,OR,Marion County,131.5
97303,Salem,OR,Marion County,131.5
97304,Salem,OR,Polk County,127.0
