zip,city,state,county,payout
16820,Aaronsburg,PA,Centre County,127.0
17301,Abbottstown,PA,Adams County,127.0
19001,Abington,PA,Montgomery County,64.5
15411,Addison,PA,Somerset County,127.0
17302,Airville,PA,York County,127.0
17501,Akron,PA,Lancaster County,131.5
16611,Alexandria,PA,Huntingdon County,127.0
17002,Allensville,PA,Mifflin County,127.0
17810,Allenwood,PA,Union County,127.0
16821,Allport,PA,Clearfield County,127.0
16601,Altoona,PA,Blair County,127.0
16602,Altoona,PA,Blair County,127.0
15521,Alum Bank,PA,Bedford County,127.0
19002,Ambler,PA,Montgomery County,64.5
17003,Annville,PA,Lebanon County,127.0
19003,Ardmore,PA,Montgomery County,64.5
17211,Artemas,PA,Bedford County,127.0
16613,Ashville,PA,Cambria County,131.5
17304,Aspers,PA,Adams County,127.0
19407,Audubon,PA,Montgomery County,64.5
19311,Avondale,PA,Chester County,64.5
17502,Bainbridge,PA,Lancaster County,131.5
19004,Bala Cynwyd,PA,Montgomery County,64.5
17812,Beaver Springs,PA,Snyder County,127.0
17813,Beavertown,PA,Snyder County,127.0
16616,Beccaria,PA,Clearfield County,127.0
15522,Bedford,PA,Bedford County,127.0
18910,Bedminster,PA,Bucks County,64.5
16822,Beech Creek,PA,Clinton County,127.0
16823,Bellefonte,PA,Centre County,127.0
17004,Belleville,PA,Mifflin County,127.0
16617,Bellwood,PA,Blair County,127.0
15530,Berlin,PA,Somerset County,127.0
19312,Berwyn,PA,Chester County,64.5
17307,Biglerville,PA,Adams County,127.0
19421,Birchrunville,PA,Chester County,64.5
17505,Bird In Hand,PA,Lancaster County,131.5
17006,Blain,PA,Perry County,127.0
17213,Blairs Mills,PA,Huntingdon County,127.0
18911,Blooming Glen,PA,Bucks County,64.5
19422,Blue Bell,PA,Montgomery County,64.5
19424,Blue Bell,PA,Montgomery County,64.5
17214,Blue Ridge Summit,PA,Franklin County,127.0
16827,Boalsburg,PA,Centre County,127.0
17007,Boiling Springs,PA,Cumberland County,127.0
15531,Boswell,PA,Somerset County,127.0
19316,Brandamore,PA,Chester County,64.5
15533,Breezewood,PA,Bedford County,127.0
19405,Bridgeport,PA,Montgomery County,64.5
16621,Broad Top,PA,Huntingdon County,127.0
17309,Brogue,PA,York County,127.0
19008,Broomall,PA,Delaware County,64.5
19009,Bryn Athyn,PA,Montgomery County,64.5
19010,Bryn Mawr,PA,Delaware County,64.5
18912,Buckingham,PA,Bucks County,64.5
15534,Buffalo Mills,PA,Bedford County,127.0
17009,Burnham,PA,Mifflin County,127.0
17215,Burnt Cabins,PA,Fulton County,127.0
15924,Cairnbrook,PA,Somerset County,127.0
16622,Calvin,PA,Huntingdon County,127.0
17011,Camp Hill,PA,Cumberland County,127.0
